Street,street_lon,street_lat,street_E,street_N,veg_lon,veg_lat,veg_E,veg_N,bound_lon,bound_lat,bound_E,bound_N,Drain,drain_lon,drain_lat,drain_E,drain_N,Wetland,wetland_lon,wetland_lat,wetland_E,wetland_N,swan_lon,swan_lat,swan_E,swan_N,Path,path_lon,path_lat,path_E,path_N
Leithbridge_Ct,115.9419074,-31.91570629,399963.6468,6468419.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91871,400022.5,6468087,115.9404,-31.92234,399830.2,6467682,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,115.9425,-31.91867,400019,6468091,115.9403,-31.92246,399817,6467670,NA,NA,NA,NA,NA
Coulstoun_Rd,115.9400546,-31.9172539,399790.1433,6468245.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kitc_E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coulstoun_Rd,115.9375502,-31.9151225,399551.0436,6468479.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9435,-31.91863,400115.6,6468097,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9435,-31.91867,400118.9,6468092,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorothy_St,115.9393013,-31.91663205,399718.2491,6468314.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9436,-31.91867,400125.9,6468093,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorothy_St,115.9357985,-31.91912523,399389.7767,6468034.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91868,400133.9,6468091,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91867,400138.9,6468092,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latham_St,115.9385265,-31.91993027,399648.5746,6467947.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.9187,400140.8,6468089,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latham_St,115.9367786,-31.9184342,399481.6943,6468112.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9438,-31.91871,400146.4,6468088,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9438,-31.91867,400144.7,6468093,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9438,-31.91865,400146.5,6468094,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9438,-31.91864,400144.7,6468095,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91865,400140.7,6468095,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91861,400137.5,6468099,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91861,400132.7,6468099,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9437,-31.91853,400132.8,6468107,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9436,-31.9185,400128.8,6468111,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9435,-31.9185,400121.9,6468111,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9435,-31.91853,400116.7,6468108,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9433,-31.91854,400100,6468107,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9433,-31.91857,400097.4,6468103,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,115.9435,-31.91863,400115.6,6468097,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9445,-31.91864,400210.3,6468097,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9444,-31.91871,400202,6468088,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9443,-31.91873,400192.7,6468087,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9443,-31.91879,400189.9,6468079,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9442,-31.91889,400182.8,6468069,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9442,-31.91896,400181,6468061,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9443,-31.91903,400189.2,6468053,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9443,-31.91903,400193.9,6468053,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9444,-31.91911,400198.7,6468044,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9446,-31.91925,400224.9,6468029,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9447,-31.91922,400228.9,6468032,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chap_E,115.9447,-31.91873,400226.5,6468086,NA,NA,NA,NA,NA,NA,NA,NA,NA
